Date,Amount
01-09-2020,-60.58
06-02-2020,-57.63
02-06-2020,-57.63
09-01-2020,-60.58
08-10-2019,58.35
09-04-2019,-74.42
01-08-2019,-63.34
05-12-2019,-69.5
04-04-2019,-63.9
04-07-2019,-58.77
07-04-2019,-58.77
02-06-2019,-57.12
04-09-2019,-74.42
11-01-2019,-56.37
03-06-2019,-71.92
10-08-2019,-63.45
07-05-2019,-62.79
07-01-2019,-81.05
06-02-2019,-57.12
04-06-2019,-53.07
08-01-2019,-63.34
05-07-2019,-62.79
01-11-2019,-56.37
06-04-2019,-53.07
12-05-2019,-69.5
01-07-2019,-81.05
06-03-2019,-71.92
11-06-2018,-56.37
12-04-2018,-76.04
07-05-2018,-59.35
04-05-2018,-57.63
03-05-2018,-105.21
06-11-2018,-56.37
09-04-2018,-69.26
08-02-2018,-61.3
02-08-2018,-61.3
04-06-2018,60.94
04-09-2018,-69.26
05-04-2018,-57.63
05-03-2018,-105.21
04-10-2018,-64.19
05-07-2018,-59.35
04-12-2018,-76.04
06-04-2018,60.94
10-04-2018,-64.19
